radius,distance_to_COM,sample_size,pi,S,S/H,Tajimas D,D,total_SNPs,proportion_driver,unique_driver_propotion,total_drivers,unique_combos
2,222.23117762219252,6,3.0,15,6.5693423636782571,-1.0109208607268656,-3.5693423636782571,15,0.2,0.0,3,1
2,220.04942144744496,5,5.7600000000000016,20,9.5999958000951189,-0.7662745327928957,-3.8399958000951173,20,0.1,0.0,2,2
2,222.57188151246518,5,3.0400000000000009,20,9.5999958000951189,-1.3090529205049473,-6.559995800095118,20,0.15,0.0,3,1
2,168.37445786776993,4,5.0,19,10.363608617605914,-1.0628815424075373,-5.3636086176059141,19,0.10526315789473684,0.0,2,2
2,171.4310029629591,8,4.21875,21,8.099173450537938,-0.85336918896846825,-3.880423450537938,21,0.19047619047619047,0.0,4,2
2,185.23260337449722,7,8.6530612244897949,27,11.020407791318632,-0.38655142423265448,-2.3673465668288376,27,0.18518518518518517,0.0,5,2
2,114.17257015689108,9,5.1851851851851842,26,9.5663600001308691,-0.80548748806004633,-4.3811748149456848,26,0.19230769230769232,0.0,5,2
2,193.00786890039075,3,0.88888888888888895,10,6.6664429165699648,-2.161750565746547,-5.7775540276810755,10,0.2,0.0,2,1
2,181.60186240088157,5,9.120000000000001,29,13.919993910137922,-0.65605826868470651,-4.7999939101379212,29,0.10344827586206896,0.10000000000000001,3,2
2,74.624425917039716,13,6.5325443786982236,44,14.178863294793475,-0.92811107437771279,-7.6463189160952512,44,0.20454545454545456,0.041095890410958902,9,5
2,155.11043882904133,7,10.612244897959181,31,12.653060797439911,-0.28972449530314975,-2.0408158994807302,31,0.12903225806451613,0.0,4,3
2,112.76655772249079,5,5.1199999999999992,19,9.1199960100903628,-0.84120090418525206,-3.9999960100903635,19,0.21052631578947367,0.0,4,2
2,223.72094097133322,5,2.2400000000000002,14,6.719997060066583,-1.2895036227375269,-4.4799970600665828,14,0.07142857142857142,0.0,1,1
2,203.49464564024996,4,11.5,26,14.181780213565988,-0.38570695233567848,-2.6817802135659878,26,0.15384615384615385,0.0,4,2
2,180.25684946458819,7,10.285714285714285,36,14.693877055091509,-0.53800016539920281,-4.4081627693772241,36,0.1111111111111111,0.045454545454545456,4,2
2,232.36587383268224,4,3.625,16,8.7272493621944545,-1.20647523976586,-5.1022493621944545,16,0.1875,0.0,3,1
2,195.59140097752456,6,5.0,27,11.824816254620863,-1.0609199532669846,-6.8248162546208633,27,0.1111111111111111,0.0,3,2
2,157.83652689049228,3,11.111111111111112,31,20.66597304136689,-1.112164264312389,-9.5548619302557771,31,0.16129032258064516,0.18181818181818182,5,3
2,193.15796437657752,7,14.040816326530608,46,18.775509570394707,-0.45123238110929953,-4.7346932438640987,46,0.10869565217391304,0.0,5,3
2,37.602839420185525,12,9.5972222222222214,34,11.258735402837123,-0.25500827725141406,-1.6615131806149019,34,0.2647058823529412,0.0,9,3
2,239.19179932631116,12,4.0138888888888884,29,9.6030390200669569,-1.0068616641066752,-5.5891501311780685,29,0.06896551724137931,0.0,2,1
2,125.25047486130958,8,5.09375,28,10.798897934050585,-0.93720912654911326,-5.7051479340505846,28,0.17857142857142858,0.083333333333333329,5,2
2,238.61201425932529,5,5.4400000000000013,25,11.999994750118898,-1.0426041846658387,-6.5599947501188964,25,0.08,0.0,2,1
2,122.91577151922135,3,7.1111111111111125,19,12.666241541482933,-1.066267802385048,-5.5551304303718201,19,0.2631578947368421,0.090909090909090912,5,2
2,161.45020412027722,8,10.5,37,14.269972269995415,-0.4673004890488372,-3.7699722699954155,37,0.16216216216216217,0.0,6,4
2,75.611282247789248,7,8.5714285714285694,34,13.87755055203087,-0.68609835896027349,-5.3061219806023008,34,0.23529411764705882,0.088235294117647065,8,4
2,165.39307322019718,9,5.5308641975308639,29,10.670170769376739,-0.846093418709432,-5.139306571845875,29,0.13793103448275862,0.035714285714285712,4,2
2,155.72155730639631,6,5.666666666666667,30,13.138684727356514,-1.0438133878344007,-7.4720180606898472,30,0.16666666666666666,0.11764705882352941,5,4
2,198.1335092000902,6,9.6111111111111107,32,14.014597042513616,-0.57622023835899083,-4.4034859314025052,32,0.125,0.18181818181818182,4,3
2,227.5991906852025,6,4.2777777777777777,19,8.3211669939924597,-0.89888139474559248,-4.0433892162146821,19,0.10526315789473684,0.0,2,1
3,227.84741497239057,24,10.152777777777779,40,10.711536547416381,-0.089111650186848287,-0.55875876963860271,40,0.075,0.0,3,2
3,204.86078114588017,22,6.5537190082644639,39,10.698535633421189,-0.66197884145215236,-4.1448166251567251,39,0.07692307692307693,0.0,3,2
3,170.52108759510631,11,9.884297520661157,47,16.04660612941187,-0.66461481786110599,-6.1623086087507133,47,0.1702127659574468,0.16129032258064516,8,5
3,179.84409785704904,21,8.2993197278911559,42,11.673996453824207,-0.49401800562714798,-3.3746767259330515,42,0.14285714285714285,0.033898305084745763,6,4
3,171.8697930750628,25,5.2160000000000011,36,9.5340039018176999,-0.77359857550434941,-4.3180039018176988,36,0.08333333333333333,0.0,3,1
3,170.68646412656759,22,6.6404958677685961,47,12.893107045405023,-0.82857883329645665,-6.2526111776364264,47,0.06382978723404255,0.0,3,2
3,175.08360594592679,20,4.5249999999999995,37,10.429175637118735,-0.96789917846256102,-5.9041756371187359,37,0.10810810810810811,0.022727272727272728,4,3
3,145.05191168892844,24,8.15625,48,12.853843856899656,-0.62435607393687809,-4.6975938568996565,48,0.16666666666666666,0.02247191011235955,8,6
3,212.05108839892813,18,2.8148148148148149,26,7.5591228299662498,-1.0752373850069767,-4.744308015151435,26,0.15384615384615385,0.019607843137254902,4,3
3,159.95849550576349,23,14.419659735349718,70,18.966009725693052,-0.40952595133150926,-4.5463499903433338,70,0.1,0.0,7,4
3,172.13077470478376,17,12.0,63,18.635034077498737,-0.60904603652504363,-6.6350340774987373,63,0.09523809523809523,0.0,6,4
3,116.22778076986737,31,6.568158168574401,58,14.518194451995306,-0.93660200474902211,-7.9500362834209053,58,0.15517241379310345,0.019607843137254902,9,5
3,100.11753894026756,38,4.1509695290858728,48,11.424256802784985,-1.0899406946781962,-7.2732872736991121,48,0.10416666666666667,0.0,5,2
3,226.93737752201497,24,15.4375,64,17.138458475866209,-0.16956914853769658,-1.7009584758662086,64,0.09375,0.019230769230769232,6,4
3,155.1741900432196,33,3.1294765840220387,42,10.348663230447507,-1.1925895769773698,-7.2191866464254684,42,0.09523809523809523,0.0,4,2
3,230.73053339929629,20,3.7349999999999999,38,10.711045248932756,-1.113478948290854,-6.9760452489327562,38,0.07894736842105263,0.0,3,1
3,173.19983275430161,18,14.216049382716049,65,18.897807074915626,-0.42354057135900619,-4.6817576921995769,65,0.12307692307692308,0.019230769230769232,8,4
3,232.44119476004036,20,8.8949999999999996,41,11.556654084374815,-0.39371327930593975,-2.6616540843748151,41,0.07317073170731707,0.0,3,2
3,209.2683666796076,20,6.7350000000000003,33,9.3016971898626561,-0.4718545815104106,-2.5666971898626558,33,0.09090909090909091,0.0,3,1
3,209.26300419219172,12,5.2916666666666661,21,6.9539248076346931,-0.41474633378177056,-1.662258140968027,21,0.19047619047619047,0.0,4,2
3,164.46936547956022,26,10.357988165680471,63,16.509614902755786,-0.63677027564216415,-6.1516267370753148,63,0.07936507936507936,0.012345679012345678,5,3
3,105.74544121050351,19,9.7839335180055382,54,15.450166000609194,-0.6269129608520273,-5.6662324826036556,54,0.16666666666666666,0.012987012987012988,9,6
3,239.56059811116603,20,2.8750000000000004,26,7.328609907164517,-1.039616011702738,-4.4536099071645161,26,0.11538461538461539,0.0,3,1
3,226.24529766635069,19,3.379501385041551,23,6.5806262595187306,-0.83301548958511629,-3.2011248744771796,23,0.13043478260869565,0.0,3,1
3,134.38762488519271,23,7.7958412098298684,49,13.276206807985137,-0.70523204870457001,-5.4803655981552684,49,0.1836734693877551,0.02247191011235955,9,7
3,134.28795157262795,25,5.772800000000001,45,11.917504877272124,-0.88084380982976207,-6.1447048772721233,45,0.1111111111111111,0.026666666666666668,5,2
3,177.21879259468056,13,14.76923076923077,55,17.723579118491845,-0.28662116860121961,-2.9543483492610747,55,0.05454545454545454,0.0,3,3
3,210.96308205130973,33,7.0045913682277341,55,13.551820897014592,-0.82660035817392985,-6.5472295287868576,55,0.07272727272727272,0.0,4,2
3,128.52217389933219,25,4.1536,41,10.858171110403491,-1.0547952448831734,-6.7045711104034913,41,0.1951219512195122,0.024793388429752067,8,3
3,33.386956967889589,32,9.455078125,65,16.140065192351027,-0.70875302648562544,-6.6849870673510274,65,0.16923076923076924,0.0106951871657754,11,6
3,239.89300588492881,19,5.3961218836565097,23,6.5806262595187306,-0.30823867586100778,-1.1845043758622209,23,0.13043478260869565,0.0,3,1
3,220.57573581481157,20,3.625,26,7.328609907164517,-0.86454185275524442,-3.703609907164517,26,0.15384615384615385,0.016393442622950821,4,2
3,112.18561154809645,28,5.7168367346938771,48,12.334712433784684,-0.91687429428051503,-6.6178756990908072,48,0.125,0.0,6,3
3,199.70473942476076,22,4.1528925619834709,23,6.309392809453521,-0.58419858474223585,-2.1565002474700501,23,0.13043478260869565,0.0,3,2
3,189.23214666607666,11,9.9504132231404956,41,13.998103219274185,-0.50082253925661846,-4.0476899961336894,41,0.07317073170731707,0.0,3,3
3,199.72433003576541,17,14.449826989619377,65,19.226622460911393,-0.42495943248411489,-4.7767954712920169,65,0.06153846153846154,0.019230769230769232,4,2
3,238.28475696478876,17,8.1107266435986158,40,11.831767668253166,-0.53850335105442726,-3.72104102465455,40,0.05,0.0,2,1
3,239.77297151706168,16,5.9609375,34,10.246429666495452,-0.71720358881453039,-4.2854921664954517,34,0.058823529411764705,0.0,2,1
3,141.74762938687829,18,13.722222222222225,73,21.223691022597546,-0.60416684702419543,-7.5014688003753207,73,0.0821917808219178,0.055555555555555552,6,3
3,169.43100735970987,26,8.4378698224852062,54,14.151098488076387,-0.68987082979639403,-5.7132286655911813,54,0.12962962962962962,0.03125,7,5
3,139.69550352636855,31,7.5837669094693023,82,20.525723190751982,-1.0790874254901448,-12.94195628128268,82,0.0975609756097561,0.033333333333333333,8,4
3,233.49119739491326,24,11.493055555555557,53,14.192785925326705,-0.32497940389007313,-2.6997303697711477,53,0.07547169811320754,0.013698630136986301,4,2
3,149.29741235759872,27,10.644718792866938,71,18.420412209151984,-0.72158813429554003,-7.775693416285046,71,0.15492957746478872,0.029702970297029702,11,9
3,204.80666877657006,18,6.1111111111111116,31,9.0128002972674519,-0.55125211669435747,-2.9016891861563403,31,0.0967741935483871,0.0,3,1
3,200.91960555121599,15,9.3511111111111127,51,15.684767773065181,-0.69229161683344542,-6.333656661954068,51,0.09803921568627451,0.10344827586206896,5,4
3,118.86202855486074,26,13.144970414201186,83,21.750762490932225,-0.67627505883308414,-8.6057920767310385,83,0.1566265060240964,0.047619047619047616,13,10
3,213.63904100931421,18,2.8703703703703702,34,9.8850067776481723,-1.2147182934354979,-7.014636407277802,34,0.058823529411764705,0.0,2,1
3,79.313975238987695,34,11.147058823529413,61,14.918809056399692,-0.43277445986628221,-3.7717502328702786,61,0.16393442622950818,0.0056179775280898875,10,5
3,208.40992090761253,25,12.4672,62,16.419673386463817,-0.41131090974856299,-3.9524733864638169,62,0.04838709677419355,0.0,3,1
3,156.54680609205215,14,7.612244897959183,37,11.634730750165369,-0.59431831785170552,-4.0224858522061862,37,0.08108108108108109,0.0,3,1
3,178.28221418807047,24,7.7604166666666661,49,13.121632270585067,-0.69802047413751922,-5.3612156039184011,49,0.10204081632653061,0.01282051282051282,5,3
3,193.51243005355323,27,3.0288065843621399,21,5.4482909351012916,-0.75756512474145621,-2.4194843507391517,21,0.14285714285714285,0.0,3,1
3,234.4862702400662,13,8.0473372781065091,42,13.534369508666499,-0.69788142161706734,-5.4870322305599899,42,0.047619047619047616,0.0,2,1
3,227.50547380574781,23,4.703213610586011,36,9.7539478589278552,-0.88465308759528249,-5.0507342483418443,36,0.08333333333333333,0.0,3,1
3,125.82477794250175,26,5.5443786982248522,49,12.840811591032278,-0.97085930596146386,-7.2964328928074256,49,0.08163265306122448,0.0,4,2
3,178.13192573833575,23,16.688090737240074,63,17.069408753123749,-0.038164879214704329,-0.38131801588367509,63,0.12698412698412698,0.018181818181818181,8,5
3,211.34586415521269,10,7.4199999999999999,40,14.139430458313326,-0.82705943870472687,-6.719430458313326,40,0.025,0.0,1,1
3,187.78464045146467,20,2.3200000000000003,24,6.7648706835364774,-1.1242305780487234,-4.4448706835364771,24,0.125,0.0,3,1
3,164.40501498260096,25,9.6256000000000004,47,12.447171760706441,-0.38727231023711128,-2.8215717607064406,47,0.10638297872340426,0.0,5,3
3,168.81359278269301,29,3.7003567181926278,41,10.440085138411835,-1.1030081008182637,-6.7397284202192065,41,0.14634146341463414,0.019607843137254902,6,4
3,126.51543659719813,14,14.204081632653059,55,17.294870034029604,-0.30673368683005953,-3.0907884013765443,55,0.16363636363636364,0.023809523809523808,9,4
3,183.33739885341848,32,4.123046875,41,10.180656505944496,-1.0169902179272532,-6.057609630944496,41,0.0975609756097561,0.0,4,2
3,192.53652500967843,26,11.136094674556215,64,16.771672282164609,-0.57424447543103896,-5.6355776076083934,64,0.0625,0.012658227848101266,4,2
